,0
0,0.8100558659217877
1,0.7821229050279329
2,0.8435754189944135
3,0.8435754189944135
4,0.8379888268156425
5,0.8324022346368715
6,0.8379888268156425
7,0.8324022346368715
8,0.8491620111731844
9,0.8435754189944135
10,0.8547486033519553
11,0.8379888268156425
12,0.8435754189944135
13,0.8603351955307262
14,0.8435754189944135
15,0.8547486033519553
16,0.8603351955307262
17,0.8324022346368715
18,0.8268156424581006
19,0.8435754189944135
20,0.8491620111731844
21,0.8156424581005587
22,0.8547486033519553
23,0.8379888268156425
24,0.8379888268156425
25,0.8547486033519553
26,0.8379888268156425
27,0.8491620111731844
28,0.8547486033519553
29,0.8547486033519553
30,0.8491620111731844
31,0.8547486033519553
32,0.8491620111731844
33,0.8547486033519553
34,0.8435754189944135
35,0.8547486033519553
36,0.8491620111731844
37,0.8603351955307262
38,0.8491620111731844
39,0.8659217877094972
40,0.8491620111731844
41,0.8603351955307262
42,0.8603351955307262
43,0.8435754189944135
44,0.8491620111731844
45,0.8491620111731844
46,0.8379888268156425
47,0.8659217877094972
48,0.8379888268156425
49,0.8547486033519553
50,0.8603351955307262
51,0.8603351955307262
52,0.8435754189944135
53,0.8379888268156425
54,0.8659217877094972
55,0.8547486033519553
56,0.8491620111731844
57,0.8435754189944135
58,0.8379888268156425
59,0.8491620111731844
60,0.8435754189944135
61,0.8491620111731844
62,0.8659217877094972
63,0.8547486033519553
64,0.8491620111731844
65,0.8659217877094972
66,0.8435754189944135
67,0.8603351955307262
68,0.8379888268156425
69,0.8491620111731844
70,0.8603351955307262
71,0.8491620111731844
72,0.8435754189944135
73,0.8435754189944135
74,0.8547486033519553
75,0.8547486033519553
76,0.8547486033519553
77,0.8547486033519553
78,0.8603351955307262
79,0.8603351955307262
80,0.8603351955307262
81,0.8435754189944135
82,0.8491620111731844
83,0.8547486033519553
84,0.8547486033519553
85,0.8547486033519553
86,0.8547486033519553
87,0.8603351955307262
88,0.8603351955307262
89,0.8491620111731844
90,0.8547486033519553
91,0.8547486033519553
92,0.8324022346368715
93,0.8603351955307262
94,0.8491620111731844
95,0.8435754189944135
96,0.8547486033519553
97,0.8603351955307262
98,0.8435754189944135
